8 15 0 4312 924 0 0
90 54 46.046327
59 40 17.125462
16 40 41.697439
70 83 2.848903
91 4 1.928770
8 96 32.267220
93 40 6.724754
15 53 4.852443
0 1 14.516129 18.511002
0 3 9.903256 13.977477
0 4 25.734733 47.572253
0 5 8.444472 47.738578
1 3 4.338206 20.233772
1 4 8.674886 36.974700
1 5 8.189642 45.129246
1 6 16.649373 45.506149
2 3 36.803797 16.948454
2 7 37.362285 9.114353
3 5 7.229835 44.477676
4 5 18.541520 6.843776
4 7 43.588061 42.498550
5 6 40.943632 24.759667
6 7 21.373638 41.238136
