9 21 0 725 2540 0 0
2 19 45.338298
89 50 7.251198
74 84 40.400403
22 31 29.256569
5 11 8.365123
87 19 49.885556
75 94 17.708365
39 58 49.948119
45 74 10.351878
0 1 22.920927 22.920927
0 2 41.322062 41.322062
0 3 8.360546 8.360546
0 4 28.966643 28.966643
0 5 23.213904 23.213904
0 6 33.832820 33.832820
1 2 20.111698 20.111698
1 4 34.505753 34.505753
1 7 6.390576 6.390576
1 8 12.851344 12.851344
2 4 49.528489 49.528489
3 5 35.914182 35.914182
3 8 21.457564 21.457564
4 5 25.891903 25.891903
4 6 12.094485 12.094485
4 7 9.639271 9.639271
4 8 36.277352 36.277352
5 6 41.354106 41.354106
5 8 7.818842 7.818842
6 7 18.085269 18.085269
6 8 19.183935 19.183935
