7 16 0 714 839 0 0
65 89 13.791314
6 24 43.363750
65 16 16.988128
56 68 2.131718
57 25 14.658040
1 65 27.666555
46 3 14.981536
0 1 10.275582 10.275582
0 2 11.766411 11.766411
0 5 7.480087 7.480087
0 6 45.519883 45.519883
1 2 35.737175 35.737175
1 3 15.717032 15.717032
1 4 21.700186 21.700186
1 5 32.631916 32.631916
1 6 13.138218 13.138218
2 5 23.392438 23.392438
3 4 28.075503 28.075503
3 5 18.683432 18.683432
3 6 25.902585 25.902585
4 5 6.628620 6.628620
4 6 1.170385 1.170385
5 6 13.443403 13.443403
